cleaned_text,manual_label
Now bring that pokemon game to ps5 and pc,Neutral
"Play Cassette Beasts while you're waiting, Pombomb is just about the same thing.",Negative
Why is Duplicas ditto taking on human forms,Neutral
"Wind / waves legit looks like the switch 2 version of scarlet / violet, just with better water effects. It's going to take a lot more effort than that to get me back after that waste of my time and money they called legends ZA",Negative
"My childhood dog was a pomeranian named Meeko. He had to be put down when he was 13 in 2015. My dad lied about it, but I always knew the truth. I dont think I had the proper time to grieve, but Im very excited to have a pokemon and to name him Meeko (maybe, that might make me very sad lol)",Positive
"<a href="" The storm is coming",Positive
"Damn, I thought we were getting pokemon blue",Negative
@RubiixCat People said the same thing about WiiU when the Switch came out. And the Switch still underperformed. You guys have some memory issues.,Negative
@theamazingspooderman2697 youre so cool,Positive
Pokemon is garbage. I'm so glad we have palworld now,Negative
"Thats Mrs Pokemon to you, theyre married to Nintendo!",Neutral
"You try and run those graphics on a Switch 1, and your Switch would melt itself into a pile of slag.",Negative
i cant already see the chat xd,Neutral
Extremely phoned in starter designs.,Negative
I'm either going for grass starter or water this time.,Positive
"Mine passed in 2018 and I still miss him all the time. I'm so glad all of us fluffy pom lovers get our cute dogs in game now. I'm sorry you lost your pup so recently, it is so so hard but his memory is strong.",Positive
I can't believe school made me miss this,Positive
@kyleefaren3075the company doesnt but the devs do,Neutral
"@WongRei XY came out in thirteen years ago. If it takes over a third of the existence of the franchise for change to happen, thats a problem.",Negative
NO ONE WILL READ SO NO ONE KNOWS IM GAY,Neutral
@thingthang2904that was a nightmare,Negative
the funding for pokemon winds and waves will be DOWN BY 200%THE GRAPHICS? DOWN BY 50%the cost? ofc course its gonna be 70 bucks! and only on the nintendo switch 2! NICEy'all better make this game about exploring the seas and the skies,Negative
since i love geckos im getting the water type,Neutral
I'm shocked that they're skipping a release on the 30th anniversary.,Negative
That's just Gyarados,Neutral
this wasnt worth me almost peeing my pants because i cant pause this,Positive
"TAILLOW!!! FINALLY, YEEEEEES",Positive
@TsgRaptorPrints Happy Birthday!!!,Positive
Wake me up when they're remaking Explorers of Sky,Negative
"No chance the game actually looks that good, right?",Negative
graduated from ps3 graphics to ps4 graphicsstill not great but the water is beautiful and i imagine thats where most of the games focus is gonna be. if the writing is anything like SV im tentatively excited,Positive
Imagine still being into pokemon in your 30s. Be with your wife instead,Negative
@CoolkiddVids uh oh,Neutral
Happy Pokemon day to all and to all a good battle,Positive
Pokemon stadium shits on all of these crappy games.And shadow colosseum is the peak,Positive
"Can we talk about the fact the pokemon starters look handmade and their fur doesn't look, like fur at all?",Neutral
"Gen 10 actually looks really good. i hope champions has doubles battling, i vastly prefer doubles over singles (or bring back triples for maximum messiness :D). im not interesting in pokopia but i cant deny it looks cute. and finally i know it wont happen but releasing Pokemon Unite on pc would be cool",Positive
"<a href="" They should jus have a Pokemon Music Orchestra Tour like Final Fantasy does",Neutral
"Why must they keep ruining good designs? Have they ever rejected a single design? If these are the ones that got through, I shutter to think of the rejected designs. I hate being negative about Pokemon. Especially on a day like today but, they just slap together whatever and ship it out.",Negative
@kyleefaren3075they don't but the games get an extremely small budget,Neutral
@thechaoswolf2941 DONT SPEAK IT INTO EXISTENCE,Neutral
"@NUTCASE7173Crocodiles are essentially snakes with legs, so that is why I was convinced that the fire starter Chinese zodiac rule still held true for Generation IX. After all, people did not have much of a problem calling delphoxes dogs and typhlosions rats !",Neutral
"We had a Pomeranian for most of my life, she passed away around fall 2024- she was just this tiny ball of energy her whole life and it took- a while to get used to her not being there. I've also honored her by naming dogs in games and stuff after her, it's genuinely so nice to have something like this-",Positive
Okay!!!! Yah cooked at the end!!!,Positive
"Well this was underwhelming, no game for the 30th anniversary...",Negative
IS POKEMON Z-A ABLE TO BE USED IN POKEMON HOME YET!?,Neutral
"I dont think it should have to be necessarily dark themed, but it needs to still have the mysterious and strength personified aspect to them. Much like Lugia and HoOh (especially since the sea and the sky are legitimately related, if not attached/tied, to waves and wind). Pokemon 2000 did an incredible job of making Lugia appear just slightly scary because of the almost folklore historical legends they told about it (along with sea serpent quick teaser moments hinting at its appearance with that hauntingly beautiful song). The final reveal made viewers awestruck because it showed that Lugia was truly a benevolent yet numinous Pokemon. It still was creating massive weather storms, changing currents throughout the entire ocean, and midair whirlpools while somehow equally holding its own battling 3 other legendary Pokemon!Keeping that allure of how exotic/rare, powerful/potentially dangerous, and realization that this isnt a Pokemon thats meant to be caught because its a force of nature makes legendary Pokemon truly standout. I think Pokemon has lost that original and important impactful symbolism ever since diamond/pearl ended.While I believe some legendary Pokemon shouldnt be cute and have their own place in that world with darker undertones and natural evil morality, I agree these ones dont have to be dark Pokemon. But I sure hope they return to their roots of what made Lugia and HoOh so unique, mysterious, and dominating forces in the Pokemon universe!",Negative
"<a href="" hopefully home update is SOON as legends za needs it",Neutral
All of this only for rich people ohh my god,Negative
game sea Water actually looks crisp and tasty,Positive
"<a href="" piplup is in there",Neutral
Happy 30th Anniversary to Pokmon and a happy 25th to both Oracle of Ages and Oracle of Seasons,Positive
"It did break the Twitch broadcast during the Champions announcement, lol. Saw this fact while watching Fadel's reaction to the event.",Neutral
"@leahgale I grew up with Gen 2 and can confidently say Gen 7 is the third worst, behind 8 and 9. I am happy you enjoyed the slop, but it is slop. I don't care how many people ratio me for saying that.If you want to talk ""objectively"" z moves were a clear downgrade from megas. And the gang was a clear downgrade from all others before it. The intro was long and dull, and the lack of gyms was so much of a downgrade that GameFreak went back to them in the very next gen. Sorry your childhood game sucked. Many people at the time hated gen 7 as well. Revisionism at its finest.",Negative
I was thinking the same thing.,Neutral
I dreamed about a Pet Pomeranian like twice in the past couple of months. I don't own pets but I will own that Pokmon in Waves / Winds.,Positive
if Pokemon Wave and Win has FULL National Dex WE ARE SO BACK,Positive
No one saw the clearly Asian architecture going on?SOUTHEAST ASIAN PIKACHU - whatever that means...,Neutral
I Love Pokemon very much: I grew up with Pokemon.,Positive
I was like 12 when i got pokemon red on the game boy colour,Neutral
"That is NOT Chris Brown <a href=""",Neutral
"My boy is 4 now and is gettin really good at Shield on the switch. His journey is just beginning, but man do I look forward to seeing him grow into the series like I have.",Positive
Happy Pokemon Day!!!,Positive
"The fact that it releases in 2027, that would be a 5 year gap b/w SV and WW, that shows they are learning from their mistakes.",Positive
yea that's really amazing!!! :DDD and happy to get to explore Indonesia as well!,Positive
Super mystery dungeon turns 11 this year actually,Positive
Gosh Pokemon XD and Colosseum music still holds up to this day,Positive
@brojoshtobyturner500that's what I was thinking because there's no way the old switch is gonna be able to handle the graphics if this is a true representation of the game.,Neutral
I absolutely NEED the Pomeranian starter,Positive
Wait it lowkey does have the same face as the lps frogs lmao,Positive
"Angry bird, Toby Fox, or Littlest Pet Shop.",Neutral
thank you Japan,Positive
Becareful of this stupid company,Negative
"It's pronounced ""FRLG""",Neutral
and pombon looks and sounds suspiciously like pombomb from cassette beasts...,Neutral
"Of course they are, theyre all based in different parts of the world. The games often have characters from other regions either as main characters or NPCs with regional forms to trade with you. For example, Penny in Scarlet/Violet is the daughter of Peony from Sword/Shield",Neutral
Ill wait for the final release. Im intrigued to see what Nintendo can do with a new Zelda title made only for switch 2. Thats generally the graphical benchmark I compare Pokemon games with.,Neutral
Maybe the legend for wind,Positive
@NateDellenbach even still its a decent step up and we still got a year to let it cook,Positive
The summer of 2016 was amazing thanks to Pokemon GO. That timeframe was like Pokemania 2.0.,Positive
hopefully we get fully audio output including dialogues and a bit more detailed characters,Positive
@BladerDuelistCatthe ai confusion theory is real,Neutral
@athena_nukehas gta 6 released In stores yet?,Neutral
They look like my little pet shop,Neutral
Gen 10 finally looks like a game for wii u,Positive
@awoooga5857the ppl complaining abt the date are lowk slop enjoyers,Neutral
"My hope that New pokemon games could be something of quality is something of a withered corpse by now. But who knows, I could be suprised this time.",Positive
And the game is going to be a letdown anyway,Negative
I mean we shooooouuuld get GTAVI before Gen 10,Neutral
it ain't even on the switch 1 brother,Neutral
"Read the thing, its not active yet",Neutral
"I remember going to the mall for the Pokmon 10th Anniversary celebration, I got pikachu's autograph",Positive
Been waiting all day Happy Pokmon Day and Happy 30 years of Pokmon,Positive
The most hopeful part of this was that Wind and Waves comes out in 27 and not this year. I hope the time taken gives good opportunity for the developers to work.,Positive
Where can I find the un dubed version I wanna hear them in Japanese!!!,Neutral
Same. I'm a year older than Pokmon. And I'm glad to still be alive to see this franchise grow so much!,Positive
it IS running on Switch 1,Neutral
Gen 10 wont be running. Period.,Negative
Yikes to pokopia being game keycard only?? I hope not,Neutral
The gyarados cloud?,Neutral